PRODCODE,PRODDATE,CONTRACTNO,WONO,ITEMNO,CATCOD,ITEMSIZE,CUTSIZE,CUTSHT,CUTTIMES,REALSHT,CUTWEIGHT,CTRTYPE,DONO
2,44825,0006J22,0309I22,220603058#,001,01.00-1219.0-COIL.,01.00-1219.0-2440.0,312,1,312,6963.64,1,0008J22
2,44825,0014J22,0309I22,220603058#,001,01.00-1219.0-COIL.,01.00-1219.0-2440.0,57,1,57,1272.2,1,0012J22
2,44825,STOCK,0309I22,220603058#,001,01.00-1219.0-COIL.,01.00-1219.0-2438.0,14,1,14,312.22,1,
2,44825,0014J22,0309I22,220603058#,001,01.00-1219.0-COIL.,01.00-1219.0-2440.0,100,1,100,2231.94,1,0012J22
2,44833,0246I22,0378I22,220411629,077,06.00-1200.0-COIL.,06.00-1200.0-1375.0,13,1,13,1055.23,2,0262I22
2,44833,0246I22,0378I22,220411629,077,06.00-1200.0-COIL.,06.00-1200.0-2400.0,29,1,29,4108.77,2,0262I22
1,44837,0001J22,0002J22,220401597#,076,02.00-1219.0-COIL.,02.00-0081.0-COIL.,11,1,11,6600.22,1,0016J22
1,44837,0001J22,0002J22,220401597#,076,02.00-1219.0-COIL.,02.00-0100.0-COIL.,2,1,2,1481.54,1,0016J22
1,44837,0001J22,0002J22,220401597#,076,02.00-1219.0-COIL.,02.00-0113.0-COIL.,1,1,1,837.07,1,0016J22
1,44837,0002J22,0003J22,211204474#,076,02.00-1219.0-COIL.,02.00-0081.0-COIL.,11,1,11,6600.22,1,0017J22
1,44837,0002J22,0003J22,211204474#,076,02.00-1219.0-COIL.,02.00-0100.0-COIL.,2,1,2,1481.54,1,0017J22
1,44837,0002J22,0003J22,211204474#,076,02.00-1219.0-COIL.,02.00-0113.0-COIL.,1,1,1,837.07,1,0017J22
1,44835,0257I22,0390I22,220803844#,001,00.60-1219.0-COIL.,00.60-0601.0-COIL.,2,3,6,6956.62,1,0026J22
1,44835,0257I22,0391I22,220803847#,001,00.60-1219.0-COIL.,00.60-0601.0-COIL.,2,3,6,7296.8,1,0026J22
1,44835,0257I22,0392I22,220803906#,001,00.60-1219.0-COIL.,00.60-0601.0-COIL.,2,3,6,5911.4,1,0026J22
2,44837,0004J22,0006J22,220904465,076,03.00-1219.0-COIL.,03.00-1219.0-2438.0,124,1,124,8555,2,0018J22
2,44835,0008J22,0008J22,220914227,001,01.00-1219.0-COIL.,01.00-1219.0-2438.0,256,1,256,5955,2,0019J22
2,44831,,0361I22,220904330,077,05.90-1228.0-COIL.,05.90-1228.0-1800.0,102,1,102,10580,2,
3,44835,0237I22,0361I22,220904330,077,05.90-1228.0-1800.0,05.90-0307.0-1800.0,408,1,408,10580,2,0074J22
1,44835,0262I22,0409I22,220904491#,004,00.35-1140.0-COIL.,00.35-1140.0-COIL.,1,1,1,6885,1,0006J22
1,44835,0262I22,0408I22,220904489#,004,00.35-1140.0-COIL.,00.35-1140.0-COIL.,1,1,1,6955,1,0006J22
1,44835,0262I22,0407I22,220904485#,004,00.35-1140.0-COIL.,00.35-1140.0-COIL.,1,1,1,6970,1,0006J22
1,44835,0262I22,0406I22,220904484#,004,00.35-1140.0-COIL.,00.35-1140.0-COIL.,1,1,1,6280,1,0006J22
1,44835,0262I22,0405I22,220904482#,004,00.35-1140.0-COIL.,00.35-1140.0-COIL.,1,1,1,7010,1,0006J22
1,44835,0262I22,0403I22,220904479#,004,00.35-1140.0-COIL.,00.35-1140.0-COIL.,1,1,1,6075,1,0006J22
1,44835,0262I22,0402I22,220904478#,004,00.35-1140.0-COIL.,00.35-1140.0-COIL.,1,1,1,6775,1,0006J22
1,44835,0262I22,0401I22,220904477#,004,00.35-1140.0-COIL.,00.35-1140.0-COIL.,1,1,1,6795,1,0006J22
1,44837,0257I22,0396I22,220703535#,001,00.70-1219.0-COIL.,00.70-0078.0-COIL.,15,2,30,8283.15,1,0026J22
1,44837,STOCK,0396I22,220703535#,001,00.70-1219.0-COIL.,00.70-0041.9-COIL.,1,2,2,296.63,1,
1,44837,0253I22,0010J22,220904233#,076,04.00-1219.0-COIL.,04.00-0076.0-COIL.,1,2,2,637.18,1,0271I22
1,44837,0253I22,0010J22,220904233#,076,04.00-1219.0-COIL.,04.00-0087.0-COIL.,12,2,24,8752.8,1,0271I22
1,44837,0253I22,0010J22,220904233#,076,04.00-1219.0-COIL.,04.00-0093.0-COIL.,1,2,2,779.7,1,0271I22
1,44837,0253I22,0011J22,220904235#,076,04.00-1219.0-COIL.,04.00-0076.0-COIL.,1,2,2,636.55,1,0271I22
